AmyLoad,"AmyLoad, Waltz-DB 2.0",CPAD,"CPAD, AmyLoad","CPAD, AmyLoad, Waltz-DB 2.0","CPAD, Waltz-DB 2.0","CPAD, Waltz-DB 2.0, AmyLoad",WALTZ,Waltz-DB 2.0,"Waltz-DB 2.0, AmyLoad","Waltz-DB 2.0, AmyLoad, AmyLoad"
5.0,6.0,3.0,7.0,6.0,6.0,6.0,6.0,6.0,6,6.0
5.0,6.0,4.0,7.0,6.0,6.0,6.0,,6.0,6,
5.0,6.0,5.0,7.0,6.0,6.0,6.0,,6.0,6,
5.0,,5.0,7.0,,6.0,6.0,,6.0,6,
5.0,,5.0,7.0,,7.0,6.0,,6.0,6,
5.0,,5.0,7.0,,6.0,6.0,,6.0,6,
5.0,,5.0,7.0,,6.0,6.0,,6.0,6,
6.0,,5.0,7.0,,6.0,6.0,,6.0,6,
6.0,,5.0,7.0,,6.0,6.0,,6.0,6,
6.0,,6.0,7.0,,6.0,6.0,,6.0,6,
6.0,,6.0,7.0,,6.0,6.0,,6.0,6,
6.0,,7.0,7.0,,6.0,6.0,,6.0,6,
6.0,,7.0,7.0,,6.0,6.0,,6.0,6,
6.0,,7.0,7.0,,6.0,6.0,,6.0,6,
6.0,,7.0,7.0,,6.0,6.0,,6.0,6,
6.0,,7.0,7.0,,6.0,6.0,,6.0,6,
6.0,,7.0,7.0,,6.0,6.0,,6.0,6,
6.0,,7.0,7.0,,6.0,6.0,,6.0,6,
6.0,,7.0,7.0,,6.0,6.0,,6.0,6,
7.0,,8.0,7.0,,6.0,6.0,,6.0,6,
7.0,,8.0,8.0,,6.0,6.0,,6.0,6,
7.0,,8.0,8.0,,6.0,6.0,,6.0,6,
7.0,,8.0,8.0,,6.0,6.0,,6.0,6,
7.0,,8.0,8.0,,6.0,6.0,,6.0,6,
7.0,,8.0,8.0,,6.0,6.0,,6.0,6,
7.0,,8.0,8.0,,6.0,6.0,,6.0,6,
7.0,,8.0,8.0,,6.0,6.0,,6.0,6,
7.0,,8.0,8.0,,6.0,6.0,,6.0,6,
7.0,,8.0,8.0,,6.0,6.0,,6.0,6,
7.0,,8.0,8.0,,6.0,6.0,,6.0,6,
7.0,,8.0,8.0,,6.0,6.0,,6.0,6,
7.0,,9.0,8.0,,6.0,6.0,,6.0,6,
8.0,,9.0,8.0,,6.0,6.0,,6.0,6,
8.0,,9.0,9.0,,,6.0,,6.0,6,
8.0,,9.0,9.0,,,6.0,,6.0,6,
8.0,,10.0,9.0,,,6.0,,6.0,6,
8.0,,10.0,9.0,,,6.0,,6.0,6,
8.0,,10.0,9.0,,,6.0,,6.0,6,
8.0,,10.0,9.0,,,6.0,,6.0,6,
9.0,,10.0,9.0,,,6.0,,6.0,6,
9.0,,10.0,10.0,,,6.0,,6.0,6,
9.0,,10.0,10.0,,,6.0,,6.0,6,
9.0,,10.0,10.0,,,6.0,,6.0,6,
9.0,,11.0,10.0,,,6.0,,6.0,6,
10.0,,11.0,10.0,,,6.0,,6.0,6,
10.0,,11.0,10.0,,,6.0,,6.0,6,
10.0,,11.0,10.0,,,6.0,,6.0,6,
10.0,,11.0,10.0,,,6.0,,6.0,6,
10.0,,11.0,10.0,,,6.0,,6.0,6,
10.0,,11.0,10.0,,,6.0,,6.0,6,
10.0,,11.0,10.0,,,6.0,,6.0,6,
10.0,,11.0,10.0,,,6.0,,6.0,6,
10.0,,11.0,10.0,,,6.0,,6.0,6,
10.0,,12.0,10.0,,,6.0,,6.0,6,
10.0,,12.0,10.0,,,6.0,,6.0,6,
10.0,,12.0,10.0,,,6.0,,6.0,6,
10.0,,12.0,10.0,,,6.0,,6.0,6,
10.0,,12.0,10.0,,,6.0,,6.0,6,
10.0,,13.0,10.0,,,6.0,,6.0,6,
10.0,,13.0,10.0,,,6.0,,6.0,6,
10.0,,13.0,10.0,,,6.0,,6.0,6,
10.0,,13.0,11.0,,,6.0,,6.0,6,
10.0,,14.0,11.0,,,6.0,,6.0,6,
10.0,,14.0,11.0,,,6.0,,6.0,6,
10.0,,14.0,11.0,,,6.0,,6.0,6,
