,CTDC_hydrophobicity_PRAM900101.G1,CTDC_hydrophobicity_PRAM900101.G2,CTDC_hydrophobicity_PRAM900101.G3,CTDC_hydrophobicity_ARGP820101.G1,CTDC_hydrophobicity_ARGP820101.G2,CTDC_hydrophobicity_ARGP820101.G3,CTDC_hydrophobicity_ZIMJ680101.G1,CTDC_hydrophobicity_ZIMJ680101.G2,CTDC_hydrophobicity_ZIMJ680101.G3,CTDC_hydrophobicity_PONP930101.G1,CTDC_hydrophobicity_PONP930101.G2,CTDC_hydrophobicity_PONP930101.G3,CTDC_hydrophobicity_CASG920101.G1,CTDC_hydrophobicity_CASG920101.G2,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_ENGD860101.G1,CTDC_hydrophobicity_ENGD860101.G2,CTDC_hydrophobicity_ENGD860101.G3,CTDC_hydrophobicity_FASG890101.G1,CTDC_hydrophobicity_FASG890101.G2,CTDC_hydrophobicity_FASG890101.G3,CTDC_normwaalsvolume.G1,CTDC_normwaalsvolume.G2,CTDC_normwaalsvolume.G3,CTDC_polarity.G1,CTDC_polarity.G2,CTDC_polarity.G3,CTDC_polarizability.G1,CTDC_polarizability.G2,CTDC_polarizability.G3,CTDC_charge.G1,CTDC_charge.G2,CTDC_charge.G3,CTDC_secondarystruct.G1,CTDC_secondarystruct.G2,CTDC_secondarystruct.G3,CTDC_solventaccess.G1,CTDC_solventaccess.G2,CTDC_solventaccess.G3
P-0001,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.6666666666666666,0.0,0.33333333333333337,0.6666666666666666,0.0,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333334
P-0004,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0
P-0006,0.0,0.6,0.4,0.4,0.2,0.39999999999999997,0.6,0.0,0.4,0.4,0.2,0.39999999999999997,0.4,0.4,0.19999999999999996,0.0,0.6,0.4,0.4,0.0,0.6,0.6,0.4,0.0,0.4,0.6,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.4,0.2,0.39999999999999997,0.6,0.0,0.4
P-0007,0.2,0.8,0.0,0.6,0.2,0.2,0.8,0.0,0.19999999999999996,0.6,0.4,0.0,0.8,0.2,-5.551115123125783e-17,0.4,0.6,0.0,0.2,0.6,0.20000000000000007,0.8,0.2,-5.551115123125783e-17,0.0,0.8,0.19999999999999996,0.6,0.4,0.0,0.0,0.8,0.19999999999999996,0.4,0.2,0.39999999999999997,0.4,0.2,0.39999999999999997
P-0008,0.6,0.0,0.4,0.4,0.2,0.39999999999999997,0.4,0.2,0.39999999999999997,0.6,0.0,0.4,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.2,0.39999999999999997,0.2,0.2,0.6000000000000001,0.4,0.0,0.6,0.2,0.2,0.6000000000000001,0.2,0.6,0.20000000000000007,0.2,0.4,0.4,0.4,0.6,0.0
P-0009,0.2,0.2,0.6000000000000001,0.2,0.0,0.8,0.2,0.0,0.8,0.2,0.0,0.8,0.2,0.4,0.4,0.4,0.0,0.6,0.2,0.0,0.8,0.2,0.2,0.6000000000000001,0.8,0.0,0.19999999999999996,0.2,0.2,0.6000000000000001,0.0,0.8,0.19999999999999996,0.2,0.6,0.20000000000000007,0.6,0.2,0.2
P-0010,0.0,0.4,0.6,0.2,0.2,0.6000000000000001,0.4,0.0,0.6,0.0,0.4,0.6,0.2,0.4,0.4,0.0,0.4,0.6,0.0,0.2,0.8,0.4,0.4,0.19999999999999996,0.6,0.4,0.0,0.4,0.4,0.19999999999999996,0.0,1.0,0.0,0.4,0.4,0.19999999999999996,1.0,0.0,0.0
P-0011,0.0,0.4,0.6,0.2,0.4,0.4,0.2,0.4,0.4,0.2,0.2,0.6000000000000001,0.2,0.6,0.20000000000000007,0.2,0.2,0.6000000000000001,0.2,0.0,0.8,0.2,0.4,0.4,0.6,0.2,0.2,0.2,0.4,0.4,0.0,1.0,0.0,0.4,0.4,0.19999999999999996,0.6,0.0,0.4
P-0012,0.0,0.4,0.6,0.2,0.6,0.20000000000000007,0.4,0.4,0.19999999999999996,0.0,0.4,0.6,0.2,0.6,0.20000000000000007,0.0,0.4,0.6,0.0,0.2,0.8,0.4,0.6,0.0,0.6,0.4,0.0,0.4,0.6,0.0,0.0,1.0,0.0,0.2,0.6,0.20000000000000007,1.0,0.0,0.0
P-0013,0.2,0.0,0.8,0.0,0.4,0.6,0.0,0.4,0.6,0.2,0.0,0.8,0.2,0.4,0.4,0.2,0.0,0.8,0.2,0.0,0.8,0.0,0.4,0.6,0.8,0.0,0.19999999999999996,0.0,0.4,0.6,0.2,0.8,0.0,0.4,0.6,0.0,0.8,0.2,-5.551115123125783e-17
P-0014,0.4,0.0,0.6,0.2,0.6,0.20000000000000007,0.4,0.4,0.19999999999999996,0.2,0.2,0.6000000000000001,0.4,0.6,0.0,0.4,0.0,0.6,0.4,0.0,0.6,0.0,0.8,0.19999999999999996,0.6,0.0,0.4,0.0,0.8,0.19999999999999996,0.2,0.8,0.0,0.6,0.4,0.0,0.6,0.4,0.0
P-0015,0.0,0.2,0.8,0.0,0.4,0.6,0.2,0.2,0.6000000000000001,0.0,0.2,0.8,0.0,0.6,0.4,0.0,0.2,0.8,0.0,0.0,1.0,0.2,0.4,0.4,0.8,0.2,-5.551115123125783e-17,0.2,0.4,0.4,0.0,1.0,0.0,0.4,0.6,0.0,1.0,0.0,0.0
P-0016,0.2,0.4,0.4,0.6,0.2,0.2,0.6,0.2,0.2,0.4,0.2,0.39999999999999997,0.6,0.2,0.2,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.19999999999999996,0.4,0.4,0.19999999999999996,0.4,0.4,0.19999999999999996,0.0,1.0,0.0,0.0,0.4,0.6,0.6,0.2,0.2
